Section,Citation role,BibTeX key
5. Privacy Risks and Complementary Protections,Inference and leakage attacks,Carlini2022MembershipInference
5. Privacy Risks and Complementary Protections,Inference and leakage attacks,Nasr2019ComprehensivePrivacyFL
5. Privacy Risks and Complementary Protections,Differential privacy context,Dwork2006DifferentialPrivacy
5. Privacy Risks and Complementary Protections,Differential privacy context,Abadi2016DeepLearningDP
5. Privacy Risks and Complementary Protections,Positioning FL and HE as complementary,Kaissis2020SecurePrivacyPreservingMedicalAI
5. Privacy Risks and Complementary Protections,Positioning FL and HE as complementary,GuerraManzanares2023PPMLHealthcare
5. Privacy Risks and Complementary Protections,Positioning FL and HE as complementary,Rieke2020FutureDigitalHealthFL
5. Privacy Risks and Complementary Protections,Positioning FL and HE as complementary,Wood2020HEMedicineBioinformatics
6. Methodology and Evaluation Metrics,Metrics and imbalanced evaluation,Fawcett2006ROC
6. Methodology and Evaluation Metrics,Metrics and imbalanced evaluation,Saito2015PrecisionRecall
6. Methodology and Evaluation Metrics,Metrics and imbalanced evaluation,Powers2011Evaluation
6. Methodology and Evaluation Metrics,Tools and reproducibility,Pedregosa2011ScikitLearn
6. Methodology and Evaluation Metrics,Tools and reproducibility,Harris2020NumPy
6. Methodology and Evaluation Metrics,Tools and reproducibility,McKinney2010Pandas
6. Methodology and Evaluation Metrics,Tools and reproducibility,Hunter2007Matplotlib
6. Methodology and Evaluation Metrics,Tools and reproducibility,TenSEAL2021
6. Methodology and Evaluation Metrics,Tools and reproducibility,Flower2020
6. Methodology and Evaluation Metrics,Datasets,Dua2019UCI
6. Methodology and Evaluation Metrics,Datasets,Janosi1988HeartDiseaseUCI
6. Methodology and Evaluation Metrics,Datasets,Soriano2021StrokePredictionDataset
7. Results and Discussion,Trade-off interpretation,McMahan2017FedAvg
7. Results and Discussion,Trade-off interpretation,Kairouz2021AdvancesOpenProblemsFL
7. Results and Discussion,Trade-off interpretation,Li2020FedProx
7. Results and Discussion,Trade-off interpretation,Cheon2017CKKS
7. Results and Discussion,Trade-off interpretation,Wood2020HEMedicineBioinformatics
7. Results and Discussion,Trade-off interpretation,Kaissis2020SecurePrivacyPreservingMedicalAI
7. Results and Discussion,Limitations and future work,Rieke2020FutureDigitalHealthFL
7. Results and Discussion,Limitations and future work,Xu2021FederatedLearningHealthcareSurvey
7. Results and Discussion,Limitations and future work,Mothukuri2021SecurityPrivacyFLSurvey
7. Results and Discussion,Limitations and future work,Acar2018HESurvey
7. Results and Discussion,Limitations and future work,Kucur2025PPMLSurvey
